label,num_samples,mean_L1,std_L1
Arala,147,4.076980113983154,0.2988089621067047
Ardha pataka,203,3.228553533554077,0.2730705738067627
Ardhachandra,141,2.071523427963257,1.1252895593643188
Katakamukha,177,10.056977272033691,0.803968071937561
Mayuraksha,244,3.7073638439178467,0.8025133609771729
Mushthi,177,3.5464088916778564,1.8978509902954102
Pataka,141,2.4516079425811768,0.6778104305267334
Suchi,187,4.488590717315674,2.008145332336426
Sukhatunda,174,3.399618148803711,2.5086779594421387
Tri pataka,180,3.6330370903015137,0.3374161720275879
